Order ID,Order Date,Order Priority,Order Quantity,Sales,Ship Mode,Profit,Shipping Cost,Customer Name,Customer State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name
3,15/07/2016,Low,6,261.54,Regular Air,-213.25,35,Muhammed MacIntyre,New Jersey,East,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum"
6,03/03/2016,Not Specified,2,6.93,Regular Air,-4.64,2.56,Ruben Dartt,New York,East,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation
32,09/11/2015,High,15,140.56,Regular Air,-128.38,8.99,Liz Pelletier,Ohio,Central,Corporate,Technology,Computer Peripherals,"Imation 3.5 IBM Diskettes, 10/Box"
32,18/06/2016,High,24,1761.4,Delivery Truck,-1748.56,89.3,Liz Pelletier,Ohio,Central,Corporate,Furniture,Tables,KI Conference Tables
32,25/03/2016,High,23,160.2335,Regular Air,-85.129,5.03,Liz Pelletier,Ohio,Central,Corporate,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID
32,08/11/2016,High,26,2808.08,Regular Air,1054.82,5.81,Liz Pelletier,Ohio,Central,Corporate,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
35,05/10/2016,Not Specified,30,288.56,Regular Air,60.72,2.25,Julie Creighton,Michigan,Central,Corporate,Office Supplies,Pens & Art Supplies,Dixon Ticonderoga Core-Lock Colored Pencils
35,02/12/2015,Not Specified,14,1892.848,Regular Air,48.987,8.99,Julie Creighton,Michigan,Central,Corporate,Technology,Telephones and Communication,CF 688
36,16/09/2016,Critical,46,2484.7455,Regular Air,657.477,4.2,Sample Company A,Connecticut,East,Home Office,Technology,Telephones and Communication,6162i
65,11/06/2016,Critical,32,3812.73,Regular Air,1470.3,1.99,Tamara Dahlen,Delaware,East,Corporate,Technology,Computer Peripherals,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle"
66,04/03/2017,Low,41,108.15,Regular Air,7.57,0.7,Arthur Gainer,North Carolina,South,Consumer,Office Supplies,Pens & Art Supplies,Newell 340
69,09/03/2016,Not Specified,42,1186.06,Regular Air,511.69,3.92,Jonathan Doherty,Ohio,Central,Corporate,Furniture,Office Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2"
69,08/10/2015,Not Specified,28,51.53,Express Air,0.35,0.7,Jonathan Doherty,Ohio,Central,Corporate,Office Supplies,Pens & Art Supplies,Newell 308
70,25/08/2015,Low,46,7804.53,Regular Air,2057.166,5.99,Helen Wasserman,North Carolina,South,Home Office,Technology,Telephones and Communication,3285
70,23/03/2016,Low,48,90.05,Regular Air,-107,2.58,Helen Wasserman,North Carolina,South,Home Office,Office Supplies,Rubber Bands,"Super Bands, 12/Pack"
96,03/08/2016,High,37,4158.1235,Regular Air,1228.887,8.99,Keith Dawkins,Texas,Central,Home Office,Technology,Telephones and Communication,SC7868i
97,18/12/2015,Medium,26,75.57,Regular Air,28.24,0.5,Craig Yedwab,Arizona,West,Consumer,Office Supplies,Labels,Avery 498
129,06/04/2017,Low,4,32.72,Regular Air,-22.59,8.19,Pauline Chand,Connecticut,East,Corporate,Office Supplies,Paper,Xerox 217
130,12/11/2016,High,29,575.11,Regular Air,71.75,9.03,Roy Collins,Florida,South,Corporate,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations
130,04/06/2016,High,3,461.89,Express Air,-356.12,13.99,Roy Collins,Florida,South,Corporate,Technology,Office Machines,Canon MP41DH Printing Calculator
130,18/09/2016,High,23,236.46,Regular Air,-134.31,9.45,Roy Collins,Florida,South,Corporate,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters
132,10/08/2015,Medium,27,192.814,Regular Air,-86.196,5.03,Emily Phan,Maryland,South,Consumer,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID
132,02/03/2016,Medium,30,4011.65,Delivery Truck,-603.8,54.74,Emily Phan,Maryland,South,Consumer,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish"
134,31/05/2016,Not Specified,11,1132.6,Regular Air,-310.21,35,Michael Dominguez,Colorado,West,Home Office,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving
135,23/09/2016,Not Specified,25,125.85,Regular Air,-89.25,4.62,Anne Pryor,Ohio,Central,Consumer,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack"
166,18/08/2016,High,10,567.936,Express Air,-126.093,8.99,Valerie Takahito,Utah,West,Consumer,Technology,Telephones and Communication,i270
193,14/06/2015,Critical,14,174.89,Regular Air,-37.04,6.27,Justin Hirsh,Arizona,West,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®
194,12/08/2016,Medium,49,329.03,Regular Air,-197.25,7.98,Maria Zettner,Georgia,South,Corporate,Furniture,Office Furnishings,"Master Caster Door Stop, Large Neon Orange"
194,18/04/2017,Medium,6,20.19,Regular Air,-13.44,1.92,Maria Zettner,Georgia,South,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Serrated Blade or Curved Handle Hand Letter Openers
195,18/10/2015,Medium,34,1315.74,Regular Air,260.87,13.89,Brad Thomas,Connecticut,East,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set"
197,26/03/2016,High,23,310.52,Regular Air,33.22,3.14,Penelope Sewall,Ohio,Central,Home Office,Office Supplies,"Scissors, Rulers and Trimmers","Acme® 8"" Straight Scissors"
224,23/02/2016,Not Specified,25,184.86,Regular Air,-33.95,5.21,Bart Folk,Connecticut,East,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak"
224,14/08/2015,Not Specified,33,528.5,Regular Air,-149.92,10.68,Bart Folk,Connecticut,East,Corporate,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue"
224,18/10/2016,Not Specified,44,267.85,Regular Air,-65.43,5.15,Bart Folk,Connecticut,East,Corporate,Office Supplies,Paper,Xerox 193
225,07/08/2016,Critical,24,126.58,Regular Air,18.27,0.7,Karen Ferguson,North Carolina,South,Home Office,Office Supplies,Pens & Art Supplies,Newell 314
225,17/10/2016,Critical,1,23.7,Regular Air,-8.97,4.1,Karen Ferguson,North Carolina,South,Home Office,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set
229,20/10/2015,Critical,24,599.1,Regular Air,3.8165,12.98,Peter Fuller,Georgia,South,Consumer,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers
229,05/02/2017,Critical,43,586.11,Regular Air,98.44,4.98,Matt Abelman,Mass,East,Consumer,Furniture,Office Furnishings,Nu-Dell Executive Frame
230,01/01/2016,Critical,47,2029.75,Regular Air,320.37,8.99,Erin Creighton,Texas,Central,Corporate,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener
230,14/03/2016,Critical,11,1118.396,Regular Air,-212.333,8.08,Erin Creighton,Texas,Central,Corporate,Technology,Telephones and Communication,StarTAC ST7762
231,31/12/2015,High,2,689.74,Regular Air,-490.84,19.99,Sean Braxton,Illinois,Central,Small Business,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum
258,27/10/2015,Critical,7,201.36,Delivery Truck,-284.4,53.03,Liz Willingham,North Carolina,South,Home Office,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray"
258,05/05/2017,Critical,21,154.35,Regular Air,-91.14,8.74,Liz Willingham,North Carolina,South,Home Office,Office Supplies,Paper,Xerox 1984
258,09/09/2015,Critical,33,216.77,Regular Air,-55.108,5.27,Liz Willingham,North Carolina,South,Home Office,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders
261,14/12/2015,Medium,47,5677.609,Regular Air,1680.786,4.2,Sonia Sunley,Michigan,Central,Small Business,Technology,Telephones and Communication,7160
263,28/07/2015,High,25,136.77,Regular Air,-136.252,7.78,Paul Lucas,California,West,Corporate,Office Supplies,Binders and Binder Accessories,3M Organizer Strips
290,06/11/2015,Not Specified,24,188.73,Regular Air,-32.48,5.83,Dorris Love,North Carolina,South,Home Office,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4"
292,16/03/2017,High,43,412.62,Regular Air,175.54,1.39,Valerie Takahito,Utah,West,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes
293,22/09/2015,High,49,10123.02,Delivery Truck,457.81,68.02,Barry French,Michigan,Central,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
293,22/03/2016,High,27,244.57,Regular Air,46.7075,2.99,Barry French,Michigan,Central,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl"
294,08/02/2017,Medium,35,6375.28,Regular Air,489.02,19.99,Sanjit Chand,Michigan,Central,Home Office,Office Supplies,Storage & Organization,Fellowes Staxonsteel® Drawer Files
322,11/11/2015,Critical,20,2634.8555,Regular Air,257.76,8.08,Giulietta Weimer,Arizona,West,Corporate,Technology,Telephones and Communication,I888 World Phone
322,17/06/2015,Critical,46,281,Regular Air,-291.59,10.05,Giulietta Weimer,Arizona,West,Corporate,Office Supplies,Paper,Xerox 1997
323,29/08/2016,Critical,2,55.34,Regular Air,-31.24,11.54,Dario Medina,Arizona,West,Small Business,Office Supplies,Paper,Xerox 1964
323,03/09/2015,Critical,20,108.09,Regular Air,25.76,1.39,Dario Medina,Arizona,West,Small Business,Office Supplies,Envelopes,Staples Standard Envelopes
324,23/03/2017,Critical,25,3872.634,Regular Air,667.332,13.99,Frank Gastineau,Idaho,West,Small Business,Technology,Telephones and Communication,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine
325,18/02/2017,Low,9,884.1275,Regular Air,-178.706,4.23,Craig Yedwab,Arizona,West,Corporate,Technology,Telephones and Communication,282
326,12/07/2015,High,34,218.27,Regular Air,-44.137,4.92,Michelle Tran,Idaho,West,Consumer,Office Supplies,Binders and Binder Accessories,"DXL™ Angle-View Binders with Locking Rings, Black"
326,06/08/2015,High,17,100.95,Regular Air,-21.3,3.37,Michelle Tran,Idaho,West,Consumer,Office Supplies,Rubber Bands,"Advantus Push Pins, Aluminum Head"
353,12/05/2016,Low,21,46.94,Regular Air,3.88,1,Dean Percer,Florida,South,Home Office,Office Supplies,Pens & Art Supplies,"Quartet Alpha® White Chalk, 12/Pack"
355,29/01/2016,Low,16,1239.6315,Regular Air,-172.546,0.99,Henry MacAllister,Texas,Central,Small Business,Technology,Telephones and Communication,Accessory4
358,23/07/2016,High,33,1235.87,Regular Air,269.27,1.99,Ricardo Block,Alabama,South,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples"
358,09/09/2016,High,33,1640.9,Delivery Truck,-1348.06,54.11,Ricardo Block,Alabama,South,Corporate,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases
359,30/04/2017,Medium,30,3659.66,Delivery Truck,-500.38,51.94,Cari Sayre,Idaho,West,Corporate,Furniture,Tables,Bevis 36 x 72 Conference Tables
384,10/12/2015,Low,50,7666.04,Delivery Truck,-1820.84,80.2,Sonia Cooley,Connecticut,East,Corporate,Furniture,Tables,BPI Conference Tables
386,23/08/2015,High,4,15.69,Regular Air,-1.59,0.7,Tracy Poddar,Idaho,West,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set
386,27/09/2016,High,4,14.96,Regular Air,-0.03,0.5,Tracy Poddar,Idaho,West,Corporate,Office Supplies,Labels,Avery 501
388,13/11/2016,Not Specified,46,517.93,Regular Air,-94.73,6.96,Jennifer Halladay,Connecticut,East,Home Office,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers
416,20/04/2016,Low,20,1156.6715,Express Air,88.524,7.69,Stuart Calhoun,Utah,West,Consumer,Technology,Telephones and Communication,5190
417,28/02/2017,Medium,39,15260.78,Delivery Truck,8734.88,28.14,Robert Barroso,California,West,Small Business,Technology,Office Machines,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers"
417,04/07/2015,Medium,3,540.41,Regular Air,-170.98,19.99,Robert Barroso,California,West,Small Business,Office Supplies,Storage & Organization,"Hot File® 7-Pocket, Floor Stand"
420,31/03/2016,Not Specified,8,43.29,Regular Air,-20.69,4.86,Tony Sayre,New York,East,Small Business,Office Supplies,Paper,Xerox 190
420,12/02/2017,Not Specified,6,41.7,Regular Air,-14.56,5.37,Tony Sayre,New York,East,Small Business,Office Supplies,Paper,Xerox 1950
448,13/10/2016,Medium,22,1162.4005,Regular Air,-284.625,19.99,Brad Thomas,Connecticut,East,Corporate,Technology,Telephones and Communication,iDENi80s
449,23/04/2017,High,45,356.7,Regular Air,-48.97,5.21,Candace McMahon,Virginia,South,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak"
450,02/07/2016,Not Specified,29,1000.78,Express Air,109.33,8.99,Matt Collins,Michigan,Central,Consumer,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop
450,17/05/2016,Not Specified,35,543.72,Regular Air,-211.13,11.25,Matt Collins,Michigan,Central,Consumer,Office Supplies,Storage & Organization,Hanging Personal Folder File
454,01/02/2016,Low,42,234.2,Regular Air,56.22,1.82,Darrin Martin,South Carolina,South,Small Business,Office Supplies,Rubber Bands,Staples Bulk Pack Metal Binder Clips
